title,title_count
Data Architect,14
Managing Director,11
Chief Data Officer,11
Senior Manager,9
Executive Director,9
Enterprise Data Architect,9
Enterprise Architect,8
CIO,7
CDO,7
Director,6
Data Governance Lead,6
Senior Director Data Standards,5
Project manager,5
Program Manager,5
Information Architect,5
Former Division Manager,5
Enterprise Data Governance,5
Data Governance Manager,5
Consultant,5
Chief Data Governance Officer,5
"Senior Manager of Data Quality and Data Governance, Enterprise Data Management",4
Senior Consultant,4
"Program Manager, Enterprise Data Governance",4
No longer with,4
Manager,4
Enterprise Data Governance Consultant,4
Data Analyst,4
CTO,4
Business Analyst,4
Architect,4
VP Procurement Management,3
Subject Area Owner,3
Strategic Sourcing,3
Senior IT Officer,3
Project Director,3
Program Analyst,3
Principal Data Analyst,3
President,3
No longer with Cablevision,3
"Managing Director, BNY Mellon  Data Management and Architecture   Client Technology Solutions",3
IT Manager,3
"Executive Director, Lead Architect",3
Director Technical Architecture,3
Data Governance,3
"Chief Information Officer, IFC",3
Chief Data Architect,3
Associate General Counsel,3
"VP, Enterprise Data Management",2
VP Global Finance Technology,2
VP Data architecture,2
VP Data,2
"Vice President, Wealth Management",2
Vice President - Architecture,2
Vice President,2
Technical Data Steward,2
System Analyst,2
"SVP, Enterprise Data Executive & Chief Model Risk Officer",2
SVP Data Governance,2
Sr. Project Manager,2
Sr. Operations Officer,2
Sr Data Architect,2
Solution Architect,2
SOA architect,2
Senior Researcher,2
Senior Project Lead - Data Governance Workstreams,2
"Senior Manager, Business Intelligence and Analytic",2
"Senior Director, Enterprise Architecture & Innovation",2
Senior Data Analyst,2
Risk Manager,2
Purchasing Manager,2
Purchasing,2
Project Manager - Special Projects,2
Project Leader,2
Proj Manager (Consultant – Systems Evolution),2
Program Manager Integration & Data Services,2
Product Manager DerivSERV,2
Process Improvement Senior Manager,2
Principal Information Manager,2
No longer with Bank,2
Mr,2
MD Governance Manager,2
Managing Partner,2
"Manager, Data Architecture",2
Manager Finance IT Architecture & Strategy,2
Lead Architect,2
IT Specialist,2
IT Business Systems Analyst,2
Head of Data Governance - Operations,2
Head of Data Governance,2
Head of Data Architecture,2
Governance Operationalization Lead,2
Global Head of Data Governance,2
Global Data Architecture,2
ETL Architect,2
Enterprise Data Governance Lead,2
Enterprise Architecture - Information Governance,2
DITG / DEL / Domaine Acquisition et Echanges de Données,2
"Director, Enterprise Architecture",2
"Director, Customer Data Strategy",2
Director of Data Governance,2
Director Enterprise Business Intelligence,2
Director Data Management,2
Director Data Governance,2
Director Clinical Informatics,2
Director _ ITG EI Data Services,2
Director - Data Management,2
"Dir, BI and Data Management",2
Development Manager,2
Deputy CDO for Global Finance,2
Data Systems Architect,2
Data Governance Project Mgr,2
Data Governance Consultant,2
"Corporate Data Advocate - Information Quality Group, Finance & Accounting",2
COO,2
Compliance Director,2
Client Partner,2
Chief Enterprise Architect,2
CEO,2
Business Intelligence Manager,2
BI Business Manager,2
BI & Data Mgmt Mgr.,2
Assistant General Counsel,2
Applications Development Manager,2
VP/CMIO,1
"VP, Shared Services IT",1
"VP, Sales & Marketing IT",1
"VP, Manager Instrument Reference Data",1
"VP, Information Technology",1
"VP, Global Finance",1
"VP, Enterprise Information Managemnet",1
"VP, Enterprise Data Management and Governance",1
"VP, DG Manager",1
"VP, Data Strategy Wealth Management",1
"VP, Data Strategy Investment Management",1
"VP, Data Management",1
"VP, Data Integrity",1
"VP, CIO",1
"VP, CFO",1
"VP, Business Intelligence & Data",1
"VP, Architecture",1
VP Treasury,1
VP Technology,1
VP Systems Architecture,1
VP Strategy and Change Mgmt,1
VP Predictive Analytics,1
VP of Risk,1
VP of IT Sourcing / Procurement,1
VP of IT,1
VP of Finance,1
VP of Data Management,1
VP of Data Governance and BI,1
VP of Data Governance,1
VP of BI - Business Information Management,1
VP of Applications @ AmeriHealth Caritas,1
"VP Major Programs, COO",1
VP Life and Annuity Finance,1
VP Information and Data Services,1
VP Holland Professional Services,1
"VP Finance Technology, Global Business Operations & Legal",1
VP Enterprise Services Strategy,1
VP Enterprise Risk Management & Compliance,1
VP Enterprise Data Governance,1
VP Data Strategy,1
"VP Data Governance Data Architect,US FBO Regulation Project Team",1
VP Data Governance,1
VP Data Delivery & Architecture,1
VP Data Analytics,1
VP Corporate Medical Informatics,1
VP Consumer Technologoy,1
VP BI,1
VP / CIO,1
VP & Chief Enterprise Architect,1
VP - Principal Technology Architect,1
VP - IT - DW Arch,1
VP - FP&A,1
VP - Enterprise Data Quality,1
VP,1
"Vice President, Model Validation, Process Management and Model Governance System",1
"Vice President, Information Management Risk Lead",1
"Vice President, Human Resources",1
"Vice President, Enterprise Information Management",1
"Vice President, Enterprise Data Governance",1
"Vice President, Data Resource Management",1
"Vice President, Data Modeling Management",1
"Vice President, Data Governance",1
"Vice President, Compliance",1
Vice President Enterprise Application & Information Services,1
Vice President Big Data Analytics and Strategy,1
"Vice President and Global Head, Data Governance",1
Vice President - Data Projects at Barclays,1
Test Automation Engineer,1
"Technology, Informatica integration",1
Technology Relationship Manager,1
"Technology Manager, BI - J&J Shared Services",1
Technology Consultant,1
Technology Associate,1
Technical Manager,1
Technical Director Systems Architect,1
Team lead BICC,1
T Senior Manager - Vendor Management - OCIO,1
"SVP, Risk Integration Data Quality Manager",1
"SVP, CIO Enterprise Application Developm",1
"SVP, CIO & Enterprise Transformation Leader",1
"SVP, Chief Data Officer",1
"SVP, (IT Sponsor)",1
SVP of Corporate Services,1
SVP Delivery and Customer Success,1
SVP Data Management and BI,1
SVP Chief Op Rick Officer,1
SVP Chief Consumer Credit Risk Officer,1
SVP Analytics,1
SVP - Business Intelligence (functions as CDO),1
Supply Chain Intelligence,1
Supplier Oversight Analyst - Vendor Management,1
Supervisor Static Data Data Management,1
Strategist,1
Strategic Sourcing Consultant Supply Chain Management,1
Strategic Communications Specialist,1
Staff Director,1
Sr. Systems Analyst,1
Sr. Risk Officer - International Finance Corporation,1
Sr. Project Lead,1
Sr. Portfolio Manager - EIM - IT - Business Planning & Management,1
Sr. Manager Software Engineering and Product Management,1
Sr. Manager IT Data Strategy,1
Sr. Manager Data Governance,1
Sr. Manager - Data Analytics,1
Sr. Manager – Data Analysis,1
Sr. Manager,1
Sr. Information Architect - Global Architecture,1
Sr. Enterprise Architect,1
"Sr. Director, Data Management and Reporting",1
Sr. Director of Compliance North America,1
Sr. Director,1
Sr. Direcror - Application Development,1
Sr. Dir of  Customer Service and Business Process Optimization,1
Sr. Data Governance Analyst,1
Sr. Data Analyst and Architect,1
Sr. Data Analysis Manager,1
Sr. Consultant – Finance | Data Governance Program Office,1
Sr. Business & Data Analyst - DG Lead,1
"Sr. Architect, Business Intelligence",1
Sr Technical Procurement,1
Sr Technical Manager,1
Sr PM eDM & Data Governance,1
"Sr Mgr, Business Intelligence",1
Sr Mgr of Data Management,1
"Sr Manager, Tech Integrations IT",1
"Sr Manager, BI IT",1
Sr Manager - BI / Enterprise Reporting & Analytics,1
Sr Director of Infrastructure & Operations,1
Sr Director,1
Sr Data Warehouse Analyst,1
Sr Audit Compliance Engineer,1
"Sr Associate,  Lead of ERA",1
