,leadid,title,eloquascorecard,title_split,temp,temp_level,temp_title,temp_score
0,00Q2000000o7PRQ,data mining,D4,data mining,"(nan, data, 55)",,data,55
1,00Q2000000o9dnO,se,D4,subject expert,"(nan, nan, 50)",,,50
2,00Q2000000oxqfZ,jksdjksd,D4,jksdjksd,"(nan, nan, 50)",,,50
3,00Q2000000o8z37,director,D4,director,"(director, nan, 60)",director,,60
4,00Q2000000o8nmM,sales,D4,sales,"(nan, sales, 10)",,sales,10
5,00Q2000000owCue,cc,D4,cc,"(nan, nan, 50)",,,50
6,00Q2000000o95HM,svp products,D4,senior vice president products,"(vp, nan, 63)",vp,,63
7,00Q2000000o9HxI,asf,D4,asf,"(nan, nan, 50)",,,50
8,00Q2000000oxBw4,marketing executive,D4,marketing executive,"(c-level, nan, 65)",c-level,,65
9,00Q2000000o7O4f,lj,D4,lj,"(nan, nan, 50)",,,50
10,00Q2000000ov0jN,business development manager,D4,business development manager,"(manager, business development, 18)",manager,business development,18
11,00Q2000000prY72,ssss,,ssss,"(nan, nan, 50)",,,50
12,00Q2000000ou61L,vp,D4,vp,"(vp, nan, 63)",vp,,63
13,00Q2000000own4p,dave,D4,dave,"(nan, nan, 50)",,,50
14,00Q2000000o8gw0,ut irure quaerat commodi laudantium voluptatem ex,D4,ut irure quaerat commodi laudantium voluptatem ex,"(nan, nan, 50)",,,50
15,00Q2000000o9Zpf,manager,D4,manager,"(manager, nan, 58)",manager,,58
16,00Q2000000oxQX3,ceo,D4,chief executive officer,"(c-level, nan, 65)",c-level,,65
17,00Q2000000owGu9,sr. mgr of customer experience,D4,senior manager of customer experience,"(manager, nan, 58)",manager,,58
18,00Q2000000o9M8u,dba,D4,dba,"(nan, nan, 50)",,,50
19,00Q2000000ox3vX,dm consultant,D4,dm consultant,"(consultant, nan, 51)",consultant,,51
20,00Q2000000prGmz,self,D4,self,"(nan, nan, 50)",,,50
21,00Q2000000oxFyc,cio,D4,chief information officer,"(individual contributer, chief information officer, 70)",individual contributer,chief information officer,70
22,00Q2000000oxTmd,ba,D4,business analyst,"(individual contributer, business analyst, 60)",individual contributer,business analyst,60
23,00Q2000000oyFLa,asgasg,D4,asgasg,"(nan, nan, 50)",,,50
24,00Q2000000ouCy3,asdasdsa,D4,asdasdsa,"(nan, nan, 50)",,,50
25,00Q2000000prTsE,blah blah,D4,blah blah,"(nan, nan, 50)",,,50
26,00Q2000000o9pmM,without title,D4,without title,"(nan, nan, 50)",,,50
27,00Q2000000prC4h,dsfdf,D4,dsfdf,"(nan, nan, 50)",,,50
28,00Q2000000oxUqV,principal consultant,D4,principal consultant,"(individual contributer, nan, 53)",individual contributer,,53
29,00Q2000000o9HVs,test,,test,"(nan, nan, 50)",,,50
30,00Q2000000owCuP,xxxxx,D4,xxxxx,"(nan, nan, 50)",,,50
31,00Q2000000o7pRO,sol architect,D4,sol architect,"(nan, nan, 50)",,,50
32,00Q2000000ov0Z3,miss,D4,miss,"(nan, nan, 50)",,,50
33,00Q2000000prYMq,chief christina officer,D4,chief christina officer,"(c-level, nan, 65)",c-level,,65
34,00Q2000000ovjfg,inside sales executive,D4,inside sales executive,"(c-level, sales, 25)",c-level,sales,25
35,00Q2000000prBF5,managing editor,D4,managing editor,"(manager, nan, 58)",manager,,58
36,00Q2000000oxUqp,haha,D4,haha,"(nan, nan, 50)",,,50
37,00Q2000000o7q9E,abcd,D4,abcd,"(nan, nan, 50)",,,50
38,00Q2000000o9pd5,ljksadf,D4,ljksadf,"(nan, nan, 50)",,,50
39,00Q2000000oxvGa,xx,D4,xx,"(nan, nan, 50)",,,50
40,00Q2000000o7jTT,eii,D4,eii,"(nan, nan, 50)",,,50
41,00Q2000000prF1y,laskdf,D4,laskdf,"(nan, nan, 50)",,,50
42,00Q2000000oxFpQ,se,D4,subject expert,"(nan, nan, 50)",,,50
43,00Q2000000o8EgK,vp,D4,vp,"(vp, nan, 63)",vp,,63
44,00Q2000000o9ZKI,global sales,D4,global sales,"(individual contributer, sales, 13)",individual contributer,sales,13
45,00Q2000000pr2do,xyz,D4,xyz,"(nan, nan, 50)",,,50
46,00Q2000000ouJnY,sales,D4,sales,"(nan, sales, 10)",,sales,10
47,00Q2000000oxlNS,investor,D4,investor,"(nan, nan, 50)",,,50
48,00Q2000000oxAJe,executive director,D4,executive director,"(c-level, nan, 65)",c-level,,65
49,00Q2000000pr65X,manager,D4,manager,"(manager, nan, 58)",manager,,58
50,00Q2000000ouV6K,md,D4,md,"(nan, nan, 50)",,,50
51,00Q2000000owUUu,developer,D4,developer,"(nan, nan, 50)",,,50
52,00Q2000000o8gV4,test md,D4,test md,"(nan, nan, 50)",,,50
53,00Q2000000o9kFQ,director,D4,director,"(director, nan, 60)",director,,60
54,00Q2000000owFbZ,tenetur consequatur rerum sunt esse consectetur laboris et eum quis et aliquip recusandae,D4,tenetur consequatur rerum sunt esse consectetur laboris et eum quis et aliquip recusandae,"(nan, nan, 50)",,,50
55,00Q2000000o8gU1,test md,D4,test md,"(nan, nan, 50)",,,50
56,00Q2000000prPe1,asd,D4,asd,"(nan, nan, 50)",,,50
57,00Q2000000oxlts,sponsorship sales,D4,sponsorship sales,"(nan, sales, 10)",,sales,10
58,00Q2000000owBir,marketing executive,D4,marketing executive,"(c-level, nan, 65)",c-level,,65
59,00Q2000000o8ygw,cto,D4,chief technology officer,"(c-level, nan, 65)",c-level,,65
60,00Q2000000owLqr,vp,D4,vp,"(vp, nan, 63)",vp,,63
61,00Q2000000prO7B,digital librarian,D4,digital librarian,"(nan, nan, 50)",,,50
62,00Q2000000ovI3G,chief erica officer,D4,chief erica officer,"(c-level, nan, 65)",c-level,,65
