,title,title_split,temp,temp_level,temp_title,temp_score
0,head of data analysis and interaction,head of data analysis and interaction,"(u'department head', u'data', 66)",department head,data,66
1,cardiovascular and metabolic disease analyst,cardiovascular and metabolic disease analyst,"(nan, nan, 50)",,,50
2,product owner/manager,product owner manager,"(u'manager', nan, 58)",manager,,58
3,global head of research and innovation,global head of research and innovation,"(u'department head', nan, 61)",department head,,61
4,head of advanced analytics,head of advanced analytics,"(u'department head', u'analytics', 90)",department head,analytics,90
5,"global data lead, programme tao",global data lead programme tao,"(u'manager', u'data', 63)",manager,data,63
6,head of data & analytics,head of data analytics,"(u'department head', u'analytics', 90)",department head,analytics,90
7,chief research scientist,chief research scientist,"(u'c-level', nan, 65)",c-level,,65
8,lead data scientist,lead data scientist,"(u'manager', u'data scientist', 75)",manager,data scientist,75
9,chief data scientist,chief data scientist,"(u'c-level', u'data scientist', 85)",c-level,data scientist,85
10,"director, data science",director data science,"(u'director', u'data science', 80)",director,data science,80
11,data analyst sales,data analyst sales,"(nan, u'sales data', 15)",,sales data,15
12,head of data and analytics,head of data and analytics,"(u'department head', u'analytics', 90)",department head,analytics,90
13,sales and marketing director,sales and marketing director,"(u'director', u'sales', 20)",director,sales,20
14,"head of analytics, data-science, acting head of dw",head of analytics data science acting head of data warehouse,"(u'department head', u'analytics', 90)",department head,analytics,90
15,analytics lead,analytics lead,"(u'manager', u'analytics', 80)",manager,analytics,80
16,it manager,it manager,"(u'manager', nan, 58)",manager,,58
17,"senior manager, analytics",senior manager analytics,"(u'manager', u'analytics', 80)",manager,analytics,80
18,"svp, head of big data analytics",senior vice president head of big data analytics,"(u'vp', u'analytics', 90)",vp,analytics,90
19,smart data analytics and communication vice president,smart data analytics and communication vice president,"(u'vp', u'analytics', 90)",vp,analytics,90
20,head of customer marketing,head of customer marketing,"(u'department head', nan, 61)",department head,,61
21,head of ericsson group analytics,head of ericsson group analytics,"(u'department head', u'analytics', 90)",department head,analytics,90
22,chief data officer,chief data officer,"('individual contributer', 'chief data officer', 100)",individual contributer,chief data officer,100
23,global business intelligence,global business intelligence,"(u'individual contributer', u'business intelligence', 70)",individual contributer,business intelligence,70
24,sales and product development director,sales and product development director,"(u'director', u'sales', 20)",director,sales,20
25,ceo,chief executive officer,"(u'c-level', nan, 65)",c-level,,65
26,"head of analytics, consultancy and solutions",head of analytics consultancy and solutions,"(u'department head', u'analytics', 90)",department head,analytics,90
27,marketing executive,marketing executive,"(u'c-level', nan, 65)",c-level,,65
28,client services,client services,"(nan, nan, 50)",,,50
29,founder,founder,"(nan, nan, 50)",,,50
30,head of data analytics financial markets,head of data analytics financial markets,"(u'department head', u'analytics', 90)",department head,analytics,90
31,head of analytics,head of analytics,"(u'department head', u'analytics', 90)",department head,analytics,90
32,president,president,"(u'vp', nan, 63)",vp,,63
33,"global practice leader, customer insights (business analytics)",global practice leader customer insights business analytics,"(u'individual contributer', u'analytics', 70)",individual contributer,analytics,70
34,senior vice president business development,senior vice president business development,"(u'vp', u'business development', 23)",vp,business development,23
35,vice-president and head bfsi (europe),vice president and head bfsi europe,"(u'vp', nan, 63)",vp,,63
36,data scientist,data scientist,"('individual contributer', 'data scientist', 65)",individual contributer,data scientist,65
37,founder,founder,"(nan, nan, 50)",,,50
38,business analytics manager,business analytics manager,"(u'manager', u'analytics', 80)",manager,analytics,80
39,chief data officer,chief data officer,"('individual contributer', 'chief data officer', 100)",individual contributer,chief data officer,100
40,unit manager digital transformation,unit manager digital transformation,"(u'manager', nan, 58)",manager,,58
41,it manager,it manager,"(u'manager', nan, 58)",manager,,58
42,director of communications,director of communications,"(u'director', nan, 60)",director,,60
43,director of engineering,director of engineering,"(u'director', nan, 60)",director,,60
44,chief executive,chief executive,"(u'c-level', nan, 65)",c-level,,65
45,area manager,area manager,"(u'manager', nan, 58)",manager,,58
46,head of customer insight,head of customer insight,"(u'department head', nan, 61)",department head,,61
47,vp data science and analytics,vp data science and analytics,"(u'vp', u'analytics', 90)",vp,analytics,90
48,expert analyst,expert analyst,"(nan, nan, 50)",,,50
49,product manager,product manager,"(u'manager', nan, 58)",manager,,58
50,manager,manager,"(u'manager', nan, 58)",manager,,58
