,title,title_split,temp,temp_level,temp_title,temp_score
0,ad,ad,"(nan, nan, 50)",,,50
1,aim associate directort,aim associate directort,"(director, nan, 60)",director,,60
2,avp,assistant vp,"(vp, nan, 63)",vp,,63
3,avp data management,assistant vp data management,"(vp, data management, 85)",vp,data management,85
4,avp-dmo,assistant vp dmo,"(vp, nan, 63)",vp,,63
5,account executive,account executive,"(c-level, nan, 65)",c-level,,65
6,alliances manager,alliances manager,"(manager, nan, 58)",manager,,58
7,analyst,analyst,"(nan, nan, 50)",,,50
8,architect,architect,"(nan, nan, 50)",,,50
9,assistant manager,assistant manager,"(manager, nan, 58)",manager,,58
10,associate director,associate director,"(director, nan, 60)",director,,60
11,associate director aim business consulting,associate director aim business consulting,"(director, nan, 60)",director,,60
12,associate manager,associate manager,"(manager, nan, 58)",manager,,58
13,audit manager,audit manager,"(manager, nan, 58)",manager,,58
14,avocat,avocat,"(nan, nan, 50)",,,50
15,bcbs239 change lead,change lead,"(manager, nan, 58)",manager,,58
16,bi,business intelligence,"(individual contributer, business intelligence, 70)",individual contributer,business intelligence,70
17,bi junior consultant,business intelligence junior consultant,"(individual contributer, business intelligence, 70)",individual contributer,business intelligence,70
18,bi and integration manager,business intelligence and integration manager,"(manager, business intelligence, 80)",manager,business intelligence,80
19,big data,big data,"(nan, big data, 60)",,big data,60
20,bulk annuities and investment strategy,bulk annuities and investment strategy,"(nan, nan, 50)",,,50
21,business analist,business analyst,"(individual contributer, business analyst, 60)",individual contributer,business analyst,60
22,business analyst,business analyst,"(individual contributer, business analyst, 60)",individual contributer,business analyst,60
23,business analyst - data governance,business analyst data governance,"(individual contributer, data governance, 80)",individual contributer,data governance,80
24,business architect,business architect,"(nan, nan, 50)",,,50
25,business architecture & data,business architecture data,"(nan, data, 55)",,data,55
26,business data officer,business data officer,"(individual contributer, data officer, 80)",individual contributer,data officer,80
27,business development manager,business development manager,"(manager, business development, 18)",manager,business development,18
28,business manager,business manager,"(manager, nan, 58)",manager,,58
