,title,title_count,title_split,levels,title_match,new_title,score
0,executive director,217,,executive director,,,0.0
1,vice president,189,,vice president,,,0.0
2,vp,162,,vice president,,,0.0
3,director,115,,director,,,0.0
4,data architect,84,data architect,,"(data architect, 100)",data architect,100.0
5,data analyst,77,data analyst,,"(data analyst, 100)",data analyst,100.0
6,business analyst,66,business analyst,,"(business intelligence process, 86)",business intelligence process,86.0
7,manager,58,,manager,,,0.0
8,principal data analyst,57,principal data analyst,,"(data, 90)",data,90.0
9,senior manager,55,,senior manager,,,0.0
10,enterprise data architect,55,enterprise data architect,,"(enterprise architect, 95)",enterprise architect,95.0
11,managing director,50,,managing director,,,0.0
12,it manager,44,,manager,,,0.0
13,"director, data management",42,data management,director,"(data management, 100)",data management,100.0
14,project manager,41,project,manager,"(data protection officer, 77)",data protection officer,77.0
15,associate,41,,associate,,,0.0
16,chief compliance officer,39,chief compliance officer,,"(chief data officer, 80)",chief data officer,80.0
17,software engineer,37,software engineer,,"(data manager, 48)",data manager,48.0
18,enterprise architect,33,enterprise architect,,"(enterprise architect, 100)",enterprise architect,100.0
19,svp,30,,senior vice president,,,0.0
20,consultant,28,consultant,,"(decision support, 46)",decision support,46.0
21,"director, data engineering",27,data engineering,director,"(data, 90)",data,90.0
22,architect,27,architect,,"(information architect, 90)",information architect,90.0
23,information architect,26,information architect,,"(information architect, 100)",information architect,100.0
24,data scientist,26,data scientist,,"(data scientist, 100)",data scientist,100.0
25,chief data officer,25,chief data officer,,"(chief data officer, 100)",chief data officer,100.0
26,"director, data architecture",24,data architecture,director,"(data architecture, 100)",data architecture,100.0
27,data steward,24,data steward,,"(data steward, 100)",data steward,100.0
28,"director, enterprise architecture",23,enterprise architecture,director,"(enterprise architect, 93)",enterprise architect,93.0
29,program manager,22,program,manager,"(information management, 39)",information management,39.0
30,data governance manager,22,data governance,manager,"(data governance, 100)",data governance,100.0
31,compliance director,22,compliance,director,"(business intelligence competency center, 54)",business intelligence competency center,54.0
32,technology manager,21,technology,manager,"(data protection officer, 45)",data protection officer,45.0
33,systems architect,21,systems architect,,"(data architect, 74)",data architect,74.0
34,"dwarchitect, manager, analyst, business analyst",21,dwarchitect analyst business analyst,manager,"(data analyst, 86)",data analyst,86.0
35,compliance consultant,21,compliance consultant,,"(data, 45)",data,45.0
36,associate director,21,,associate director,,,0.0
38,data governance,20,data governance,,"(data governance, 100)",data governance,100.0
39,vp/dir/mgr is/it/dp,19,dp,vice president director manager,"(data management, 45)",data management,45.0
40,risk manager,19,risk,manager,"(enterprise architect, 68)",enterprise architect,68.0
41,"director, enterprise data management",19,enterprise data management,director,"(data management, 90)",data management,90.0
42,"director, data analysis",19,data analysis,director,"(data, 90)",data,90.0
43,sr. manager,18,,senior manager,,,0.0
44,"senior manager, data analysis",18,data analysis,senior manager,"(data, 90)",data,90.0
45,senior director compliance,18,compliance,senior director,"(business intelligence competency center, 54)",business intelligence competency center,54.0
46,senior director,18,,senior director,,,0.0
48,"manager, data warehouse",18,data warehouse,manager,"(data warehouse, 100)",data warehouse,100.0
49,it sr manager,18,,senior manager,,,0.0
50,enterprise supplier management,18,enterprise supplier management,,"(data management, 86)",data management,86.0
51,data management manager,18,data management,manager,"(data management, 100)",data management,100.0
52,data analysis manager,18,data analysis,manager,"(data, 90)",data,90.0
53,architect lead,18,architect lead,,"(information architect, 86)",information architect,86.0
54,principal software engineer,17,principal software engineer,,"(data steward, 52)",data steward,52.0
55,it analyst,16,analyst,,"(data analyst, 90)",data analyst,90.0
56,"database specialist, analyst, programmer",16,database specialist analyst programmer,,"(data analyst, 86)",data analyst,86.0
57,subject area owner,15,subject area owner,,"(data protection officer, 47)",data protection officer,47.0
58,it lead,15,lead,,"(data stewardship, 45)",data stewardship,45.0
59,vp enterprise risk managment,14,enterprise risk managment,vice president,"(enterprise architect, 67)",enterprise architect,67.0
60,sr. vp and mgr,14,,senior vice president manager,,,0.0
62,head of tech enterprise governance svcs,14,tech enterprise governance svcs,head,"(data governance, 86)",data governance,86.0
63,director - data management,14,data management,director,"(data management, 100)",data management,100.0
64,database manager/da/dba,14,database dba,manager,"(data, 90)",data,90.0
65,database analyst,14,database analyst,,"(data, 90)",data,90.0
66,business systems consultant,14,business systems consultant,,"(business intelligence, 54)",business intelligence,54.0
67,assistant vice president,14,,assistant vice president,,,0.0
68,sr. data architect,13,data architect,senior,"(data architect, 100)",data architect,100.0
69,sr. business analyst,13,business analyst,senior,"(business intelligence process, 86)",business intelligence process,86.0
70,procurement specialist,13,procurement specialist,,"(data scientist, 53)",data scientist,53.0
72,vp data strategy,12,data strategy,vice president,"(data, 90)",data,90.0
73,vendor manager,12,vendor,manager,"(information management, 45)",information management,45.0
74,technology business development,12,technology business development,,"(business intelligence competency center, 54)",business intelligence competency center,54.0
75,solutions architect,12,solutions architect,,"(architecture, 77)",architecture,77.0
76,senior enterprise architect,12,enterprise architect,senior,"(enterprise architect, 100)",enterprise architect,100.0
77,operations analyst,12,operations analyst,,"(data analyst, 86)",data analyst,86.0
79,cio,12,chief investment officer,,"(chief data officer, 80)",chief data officer,80.0
80,senior data analyst,11,data analyst,senior,"(data analyst, 100)",data analyst,100.0
81,product manager,11,product,manager,"(data protection officer, 64)",data protection officer,64.0
82,principal information manager,11,principal information,manager,"(information governance, 67)",information governance,67.0
83,principal architect,11,principal architect,,"(architecture, 77)",architecture,77.0
84,global energy architect,11,global energy architect,,"(data architect, 86)",data architect,86.0
85,"director, architecture",11,architecture,director,"(architecture, 100)",architecture,100.0
86,compliance manager,11,compliance,manager,"(business intelligence competency center, 54)",business intelligence competency center,54.0
87,systems director,10,systems,director,"(customer intelligence, 39)",customer intelligence,39.0
88,senior it manager,10,,senior manager,,,0.0
89,senior investment data analyst,10,investment data analyst,senior,"(data, 90)",data,90.0
90,senior data architect,10,data architect,senior,"(data architect, 100)",data architect,100.0
91,records manager,10,records,manager,"(data stewardship, 51)",data stewardship,51.0
92,principal database developer,10,principal database developer,,"(data, 90)",data,90.0
93,"manager, data governance",10,data governance,manager,"(data governance, 100)",data governance,100.0
94,lead architect,10,lead architect,,"(information architect, 86)",information architect,86.0
95,"director, identity management and compliance",10,identity management compliance,director,"(data management, 86)",data management,86.0
96,"director, data analytics",10,data analytics,director,"(data, 90)",data,90.0
97,director of enterprise architecture,10,enterprise architecture,director,"(enterprise architect, 93)",enterprise architect,93.0
98,director of compliance,10,compliance,director,"(business intelligence competency center, 54)",business intelligence competency center,54.0
99,director data architecture,10,data architecture,director,"(data architecture, 100)",data architecture,100.0
100,developer,10,developer,,"(business intelligence competency center, 40)",business intelligence competency center,40.0
101,contract manager,10,contract,manager,"(business intelligence competency center, 54)",business intelligence competency center,54.0
102,big data architect,10,big data architect,,"(data architect, 95)",data architect,95.0
103,avp,10,,assistant vice president,,,0.0
104,associate software engineer,10,software engineer,associate,"(data manager, 48)",data manager,48.0
105,"vp, enterprise data management",9,enterprise data management,vice president,"(data management, 90)",data management,90.0
106,vp of mortgage credit risk management and analytics,9,mortgage credit risk management analytics,vice president,"(analytics, 90)",analytics,90.0
107,vice president/senior compliance officer,9,compliance officer,vice president senior,"(chief data officer, 61)",chief data officer,61.0
108,"vice president, model validation, process management and model governance system",9,model validation process management model governance system,vice president,"(data management, 86)",data management,86.0
109,"vice president, enterprise architecture",9,enterprise architecture,vice president,"(enterprise architect, 93)",enterprise architect,93.0
110,technology architect - enterprise architecture - data governance,9,technology architect enterprise architecture data governance,,"(data governance, 90)",data governance,90.0
111,"svp, enterprise data executive & chief model risk officer",9,enterprise data chief model risk officer,senior vice president executive,"(chief data officer, 86)",chief data officer,86.0
112,sr. program manager,9,program,senior manager,"(information management, 39)",information management,39.0
113,sr. mis analyst,9,analyst,senior,"(data analyst, 90)",data analyst,90.0
114,sr. manager mis analyst,9,analyst,senior manager,"(data analyst, 90)",data analyst,90.0
115,sr. manager and team leader of data science teams,9,team leader data science teams,senior manager,"(data, 90)",data,90.0
116,sr. manager & cdi team member,9,cdi team member,senior manager,"(data management, 53)",data management,53.0
117,sr. manager - data analytics,9,data analytics,senior manager,"(data, 90)",data,90.0
118,sr. manager – data analysis,9,data analysis,senior manager,"(data, 90)",data,90.0
119,sr. enterprise data architect,9,enterprise data architect,senior,"(enterprise architect, 95)",enterprise architect,95.0
120,sr. director bank data & information sciences,9,bank data information sciences,senior director,"(data, 90)",data,90.0
121,sr. data analyst,9,data analyst,senior,"(data analyst, 100)",data analyst,100.0
122,sr. data analysis manager,9,data analysis,senior manager,"(data, 90)",data,90.0
123,sourcing manager enterprise supplier management,9,sourcing enterprise supplier management,manager,"(data management, 86)",data management,86.0
124,solution architect,9,solution architect,,"(information architect, 77)",information architect,77.0
125,"snr. director, enterprise data management",9,enterprise data management,snr director,"(data management, 90)",data management,90.0
