,title,title_count,title_split,temp,type,title_level,new_title,leftover,fuzz_results,fuzz_score,fuzz_title,fuzz_type
0,data architect,14,data architect,"(data architect, [great], [None])",great,,data architect,,,,,
1,managing director,11,managing director,"(, [level], [])",level,managing director,,,,,,
2,chief data officer,11,chief data officer,"(chief data officer, [great], [None])",great,,chief data officer,,,,,
3,senior manager,9,senior manager,"(, [level], [])",level,senior manager,,,,,,
4,executive director,9,executive director,"(, [level], [])",level,executive director,,,,,,
5,enterprise data architect,9,enterprise data architect,"(enterprise data architect, [to_fix], [enterprise data architect])",to_fix,,,enterprise data architect,"(enterprise architect, 89, great)",89.0,enterprise architect,great
6,enterprise architect,8,enterprise architect,"(enterprise architect, [great], [None])",great,,enterprise architect,,,,,
7,cio,7,chief information officer,"(chief information officer, [great], [None])",great,,chief information officer,,,,,
8,cdo,7,chief data officer,"(chief data officer, [great], [None])",great,,chief data officer,,,,,
9,director,6,director,"(, [level], [])",level,director,,,,,,
10,data governance lead,6,data governance lead,"(data governance, [great], [None])",great,lead,data governance,,,,,
11,senior director data standards,5,senior director data standards,"(data standards, [great], [None])",great,senior director,data standards,,,,,
12,project manager,5,project manager,"(, [level], [])",level,project manager,,,,,,
13,program manager,5,program manager,"(program, [level], [program])",level,manager,,program,"(bcbs program, 74, great)",74.0,bcbs program,great
14,information architect,5,information architect,"(information architect, [great], [None])",great,,information architect,,,,,
15,former division manager,5,former division manager,"(former division, [level], [former division])",level,manager,,former division,"(descision support, 56, great)",56.0,descision support,great
16,enterprise data governance,5,enterprise data governance,"(enterprise data governance, [to_fix], [enterprise data governance])",to_fix,,,enterprise data governance,"(data governance, 73, great)",73.0,data governance,great
17,data governance manager,5,data governance manager,"(master data governance, [great], [None])",great,manager,master data governance,,,,,
18,consultant,5,consultant,"(, [level], [])",level,consultant,,,,,,
19,chief data governance officer,5,chief data governance officer,"(chief data governance officer, [to_fix], [chief data governance officer])",to_fix,,,chief data governance officer,"(chief data officer, 77, great)",77.0,chief data officer,great
20,"senior manager of data quality and data governance, enterprise data management",4,senior manager of data quality and data governance enterprise data management,"(data quality data governance enterprise data management, [level], [data quality data governance enterprise data management])",level,senior manager of,,data quality data governance enterprise data management,"(assessor quality management, 59, common)",59.0,assessor quality management,common
21,senior consultant,4,senior consultant,"(, [level], [])",level,senior consultant,,,,,,
22,"program manager, enterprise data governance",4,program manager enterprise data governance,"(program enterprise data governance, [level], [program enterprise data governance])",level,manager,,program enterprise data governance,"(master data governance, 61, great)",61.0,master data governance,great
24,manager,4,manager,"(, [level], [])",level,manager,,,,,,
25,enterprise data governance consultant,4,enterprise data governance consultant,"(enterprise data governance, [level], [enterprise data governance])",level,consultant,,enterprise data governance,"(data governance, 73, great)",73.0,data governance,great
26,data analyst,4,data analyst,"(data analyst, [great], [None])",great,,data analyst,,,,,
27,cto,4,chief technology officer,"(chief technology officer, [common], [None])",common,,chief technology officer,,,,,
28,business analyst,4,business analyst,"(business analyst, [common], [None])",common,,business analyst,,,,,
29,architect,4,architect,"(architect, [great], [None])",great,,architect,,,,,
30,vp procurement management,3,vice president procurement management,"(procurement management, [level], [procurement management])",level,vice president,,procurement management,"(market data vendor management, 59, great)",59.0,market data vendor management,great
31,subject area owner,3,subject area owner,"(subject area owner, [to_fix], [subject area owner])",to_fix,,,subject area owner,"(subject expert, 69, common)",69.0,subject expert,common
32,strategic sourcing,3,strategic sourcing,"(strategic sourcing, [to_fix], [strategic sourcing])",to_fix,,,strategic sourcing,"(risk reporting, 50, great)",50.0,risk reporting,great
33,senior it officer,3,senior it officer,"(it officer, [level], [it officer])",level,senior,,it officer,"(chief data officer, 71, great)",71.0,chief data officer,great
34,project director,3,project director,"(, [level], [])",level,project director,,,,,,
35,program analyst,3,program analyst,"(program analyst, [to_fix], [program analyst])",to_fix,,,program analyst,"(data analyst, 67, great)",67.0,data analyst,great
36,principal data analyst,3,principal data analyst,"(data analyst, [great], [None])",great,principal,data analyst,,,,,
37,president,3,president,"(, [level], [])",level,president,,,,,,
39,"managing director, bny mellon  data management and architecture   client technology solutions",3,managing director bny mellon data management and architecture client technology solutions,"(bny mellon data management architecture client technology solutions, [level], [bny mellon data management architecture client technology solutions])",level,managing director,,bny mellon data management architecture client technology solutions,"(market data vendor management, 48, great)",48.0,market data vendor management,great
40,it manager,3,it manager,"(it, [level], [it])",level,manager,,it,"(big data, 40, great)",40.0,big data,great
41,"executive director, lead architect",3,executive director lead architect,"(enterprise architect, [great], [None])",great,executive director lead,enterprise architect,,,,,
42,director technical architecture,3,director technical architecture,"(technical architecture, [level], [technical architecture])",level,director,,technical architecture,"(data architecture, 77, great)",77.0,data architecture,great
43,data governance,3,data governance,"(data governance, [great], [None])",great,,data governance,,,,,
44,"chief information officer, ifc",3,chief information officer ifc,"(chief information officer ifc, [to_fix], [chief information officer ifc])",great,,chief information officer,,,93.0,chief information officer,great
45,chief data architect,3,chief data architect,"(chief data architect, [to_fix], [chief data architect])",to_fix,,,chief data architect,"(data architect, 82, great)",82.0,data architect,great
46,associate general counsel,3,associate general counsel,"(general counsel, [level], [general counsel])",level,associate,,general counsel,"(business intelligence, 50, great)",50.0,business intelligence,great
47,"vp, enterprise data management",2,vice president enterprise data management,"(enterprise data management, [level], [enterprise data management])",level,vice president,,enterprise data management,"(data management, 73, great)",73.0,data management,great
48,vp global finance technology,2,vice president global finance technology,"(finance technology, [level], [finance technology])",level,vice president global,,finance technology,"(information technology, 75, common)",75.0,information technology,common
49,vp data architecture,2,vice president data architecture,"(data architecture, [great], [None])",great,vice president,data architecture,,,,,
50,vp data,2,vice president data,"(data, [level], [data])",level,vice president,,data,"(big data, 67, great)",67.0,big data,great
51,"vice president, wealth management",2,vice president wealth management,"(wealth management, [level], [wealth management])",level,vice president,,wealth management,"(assessor quality management, 64, common)",64.0,assessor quality management,common
52,vice president - architecture,2,vice president architecture,"(data architecture, [great], [None])",great,vice president,data architecture,,,,,
53,vice president,2,vice president,"(, [level], [])",level,vice president,,,,,,
54,technical data steward,2,technical data steward,"(technical data steward, [to_fix], [technical data steward])",to_fix,,,technical data steward,"(data stewardship, 74, great)",74.0,data stewardship,great
55,system analyst,2,system analyst,"(system analyst, [to_fix], [system analyst])",common,,systems analyst,,,97.0,systems analyst,common
56,"svp, enterprise data executive & chief model risk officer",2,senior vice president enterprise data executive chief model risk officer,"(enterprise data chief model risk officer, [level], [enterprise data chief model risk officer])",level,senior vice president executive,,enterprise data chief model risk officer,"(chief data officer, 62, great)",62.0,chief data officer,great
57,svp data governance,2,senior vice president data governance,"(master data governance, [great], [None])",great,senior vice president,master data governance,,,,,
58,sr. project manager,2,senior project manager,"(, [level], [])",level,senior project manager,,,,,,
59,sr. operations officer,2,senior operations officer,"(operations officer, [level], [operations officer])",level,senior,,operations officer,"(chief operating officer, 78, common)",78.0,chief operating officer,common
60,sr data architect,2,senior data architect,"(data architect, [great], [None])",great,senior,data architect,,,,,
61,solution architect,2,solution architect,"(solution architect, [to_fix], [solution architect])",common,,solutions architect,,,97.0,solutions architect,common
62,soa architect,2,soa architect,"(soa architect, [to_fix], [soa architect])",to_fix,,,soa architect,"(architect, 82, great)",82.0,architect,great
63,senior researcher,2,senior researcher,"(researcher, [level], [researcher])",level,senior,,researcher,"(architecture, 55, great)",55.0,architecture,great
64,senior project lead - data governance workstreams,2,senior project lead data governance workstreams,"(data governance workstreams, [level], [data governance workstreams])",level,senior project lead,,data governance workstreams,"(master data governance, 78, great)",78.0,master data governance,great
65,"senior manager, business intelligence and analytic",2,senior manager business intelligence and analytic,"(business intelligence analytic, [level], [business intelligence analytic])",level,senior manager,,business intelligence analytic,"(business intelligence, 82, great)",82.0,business intelligence,great
66,"senior director, enterprise architecture & innovation",2,senior director enterprise architecture innovation,"(enterprise architecture innovation, [level], [enterprise architecture innovation])",level,senior director,,enterprise architecture innovation,"(enterprise architect, 74, great)",74.0,enterprise architect,great
67,senior data analyst,2,senior data analyst,"(data analyst, [great], [None])",great,senior,data analyst,,,,,
68,risk manager,2,risk manager,"(risk, [level], [risk])",level,manager,,risk,"(risk reporting, 44, great)",44.0,risk reporting,great
69,purchasing manager,2,purchasing manager,"(purchasing, [level], [purchasing])",level,manager,,purchasing,"(risk reporting, 42, great)",42.0,risk reporting,great
70,purchasing,2,purchasing,"(purchasing, [to_fix], [purchasing])",to_fix,,,purchasing,"(risk reporting, 42, great)",42.0,risk reporting,great
71,project manager - special projects,2,project manager special project,"(special, [level], [special])",level,project manager project,,special,"(clinical applications, 36, great)",36.0,clinical applications,great
72,project leader,2,project leader,"(, [level], [])",level,project leader,,,,,,
73,proj manager (consultant â€“ systems evolution),2,proj manager consultant systems evolution,"(proj systems evolution, [level], [proj systems evolution])",level,manager consultant,,proj systems evolution,"(systems engineer, 63, common)",63.0,systems engineer,common
74,program manager integration & data services,2,program manager integration data services,"(program integration data services, [level], [program integration data services])",level,manager,,program integration data services,"(data services, 57, great)",57.0,data services,great
75,product manager derivserv,2,product manager derivserv,"(product derivserv, [level], [product derivserv])",level,manager,,product derivserv,"(data protection officer, 50, great)",50.0,data protection officer,great
76,process improvement senior manager,2,process improvement senior manager,"(process improvement, [level], [process improvement])",level,senior manager,,process improvement,"(quality improvement, 63, great)",63.0,quality improvement,great
77,principal information manager,2,principal information manager,"(information, [level], [information])",level,principal manager,,information,"(informatics, 82, great)",82.0,informatics,great
80,md governance manager,2,md governance manager,"(md governance, [level], [md governance])",level,manager,,md governance,"(data governance, 71, great)",71.0,data governance,great
81,managing partner,2,managing partner,"(partner, [level], [partner])",level,managing,,partner,"(data manager, 53, great)",53.0,data manager,great
82,"manager, data architecture",2,manager data architecture,"(data architecture, [great], [None])",great,manager,data architecture,,,,,
83,manager finance it architecture & strategy,2,manager finance it architecture strategy,"(finance it architecture strategy, [level], [finance it architecture strategy])",level,manager,,finance it architecture strategy,"(data architecture, 65, great)",65.0,data architecture,great
84,lead architect,2,lead architect,"(data architect, [great], [None])",great,lead,data architect,,,,,
85,it specialist,2,it specialist,"(it, [level], [it])",level,specialist,,it,"(big data, 40, great)",40.0,big data,great
86,it business systems analyst,2,it business systems analyst,"(it business systems analyst, [to_fix], [it business systems analyst])",to_fix,,,it business systems analyst,"(business analyst, 74, common)",74.0,business analyst,common
87,head of data governance - operations,2,head of data governance operations,"(data governance operations, [level], [data governance operations])",level,head of,,data governance operations,"(master data governance, 75, great)",75.0,master data governance,great
88,head of data governance,2,head of data governance,"(data governance, [great], [None])",great,head of,data governance,,,,,
89,head of data architecture,2,head of data architecture,"(data architecture, [great], [None])",great,head of,data architecture,,,,,
90,governance operationalization lead,2,governance operationalization lead,"(governance operationalization, [level], [governance operationalization])",level,lead,,governance operationalization,"(information governance, 71, great)",71.0,information governance,great
91,global head of data governance,2,global head of data governance,"(data governance, [great], [None])",great,global head of,data governance,,,,,
92,global data architecture,2,global data architecture,"(data architecture, [great], [None])",great,global,data architecture,,,,,
93,etl architect,2,etl architect,"(etl architect, [to_fix], [etl architect])",to_fix,,,etl architect,"(architect, 82, great)",82.0,architect,great
94,enterprise data governance lead,2,enterprise data governance lead,"(enterprise data governance, [level], [enterprise data governance])",level,lead,,enterprise data governance,"(data governance, 73, great)",73.0,data governance,great
95,enterprise architecture - information governance,2,enterprise architecture information governance,"(enterprise architecture information governance, [to_fix], [enterprise architecture information governance])",to_fix,,,enterprise architecture information governance,"(information governance, 65, great)",65.0,information governance,great
96,ditg / del / domaine acquisition et echanges de donnã©es,2,ditg del domaine acquisition et echanges de donn es,"(ditg del domaine acquisition et echanges de donn es, [to_fix], [ditg del domaine acquisition et echanges de donn es])",to_fix,,,ditg del domaine acquisition et echanges de donn es,"(customer data management, 48, great)",48.0,customer data management,great
97,"director, enterprise architecture",2,director enterprise architecture,"(enterprise architecture, [level], [enterprise architecture])",great,director,enterprise architect,,,93.0,enterprise architect,great
98,"director, customer data strategy",2,director customer data strategy,"(customer data strategy, [level], [customer data strategy])",level,director,,customer data strategy,"(customer data management, 70, great)",70.0,customer data management,great
99,director of data governance,2,director of data governance,"(data governance, [great], [None])",great,director of,data governance,,,,,
100,director enterprise business intelligence,2,director enterprise business intelligence,"(enterprise business intelligence, [level], [enterprise business intelligence])",level,director,,enterprise business intelligence,"(business intelligence competency center, 82, great)",82.0,business intelligence competency center,great
101,director data management,2,director data management,"(data management, [great], [None])",great,director,data management,,,,,
102,director data governance,2,director data governance,"(data governance, [great], [None])",great,director,data governance,,,,,
103,director clinical informatics,2,director clinical informatics,"(clinical informatics, [great], [None])",great,director,clinical informatics,,,,,
104,director _ itg ei data services,2,director itg ei data services,"(itg ei data services, [level], [itg ei data services])",level,director,,itg ei data services,"(data services, 79, great)",79.0,data services,great
105,director - data management,2,director data management,"(data management, [great], [None])",great,director,data management,,,,,
106,"dir, bi and data management",2,director business intelligence and data management,"(business intelligence data management, [level], [business intelligence data management])",level,director,,business intelligence data management,"(business intelligence, 72, great)",72.0,business intelligence,great
107,development manager,2,development manager,"(development, [level], [development])",level,manager,,development,"(developer, 80, common)",80.0,developer,common
108,deputy cdo for global finance,2,deputy chief data officer for global finance,"(deputy chief data officer finance, [level], [deputy chief data officer finance])",level,global,,deputy chief data officer finance,"(chief financial officer, 71, great)",71.0,chief financial officer,great
109,data systems architect,2,data systems architect,"(data systems architect, [to_fix], [data systems architect])",to_fix,,,data systems architect,"(data architect, 78, great)",78.0,data architect,great
110,data governance project mgr,2,data governance project manager,"(master data governance, [great], [None])",great,project manager,master data governance,,,,,
111,data governance consultant,2,data governance consultant,"(data governance, [great], [None])",great,consultant,data governance,,,,,
112,"corporate data advocate - information quality group, finance & accounting",2,corporate data advocate information quality group finance accounting,"(corporate data advocate information quality group finance accounting, [to_fix], [corporate data advocate information quality group finance accounting])",to_fix,,,corporate data advocate information quality group finance accounting,"(information governance, 47, great)",47.0,information governance,great
113,coo,2,chief operating officer,"(chief operating officer, [common], [None])",common,,chief operating officer,,,,,
114,compliance director,2,compliance director,"(compliance, [level], [compliance])",level,director,,compliance,"(chief compliance officer, 59, common)",59.0,chief compliance officer,common
115,client partner,2,client partner,"(client partner, [to_fix], [client partner])",to_fix,,,client partner,"(chief data officer, 50, great)",50.0,chief data officer,great
116,chief enterprise architect,2,chief enterprise architect,"(chief enterprise architect, [to_fix], [chief enterprise architect])",to_fix,,,chief enterprise architect,"(enterprise architect, 87, great)",87.0,enterprise architect,great
117,ceo,2,chief executive officer,"(chief executive officer, [common], [None])",common,executive,chief executive officer,,,,,
118,business intelligence manager,2,business intelligence manager,"(business intelligence, [great], [None])",great,manager,business intelligence,,,,,
119,bi business manager,2,business intelligence business manager,"(business intelligence business, [level], [business intelligence business])",level,manager,,business intelligence business,"(business intelligence, 82, great)",82.0,business intelligence,great
120,bi & data mgmt mgr.,2,business intelligence data management manager,"(business intelligence data management, [level], [business intelligence data management])",level,manager,,business intelligence data management,"(business intelligence, 72, great)",72.0,business intelligence,great
121,assistant general counsel,2,assistant general counsel,"(general counsel, [level], [general counsel])",level,assistant,,general counsel,"(business intelligence, 50, great)",50.0,business intelligence,great
122,applications development manager,2,applications development manager,"(applications development, [level], [applications development])",common,manager,application development,,,98.0,application development,common
123,vp/cmio,1,vice president chief medical informatics officer,"(chief medical informatics officer, [great], [None])",great,vice president,chief medical informatics officer,,,,,
124,"vp, shared services it",1,vice president shared services it,"(shared services it, [level], [shared services it])",level,vice president,,shared services it,"(data services, 65, great)",65.0,data services,great
125,"vp, sales & marketing it",1,vice president sales marketing it,"(sales marketing it, [level], [sales marketing it])",level,vice president,,sales marketing it,"(sales data, 57, great)",57.0,sales data,great
126,"vp, manager instrument reference data",1,vice president manager instrument reference data,"(instrument reference data, [level], [instrument reference data])",level,vice president manager,,instrument reference data,"(market data vendor management, 56, great)",56.0,market data vendor management,great
127,"vp, information technology",1,vice president information technology,"(information technology, [level], [information technology])",level,vice president,information technology,,,,,
128,"vp, global finance",1,vice president global finance,"(finance, [level], [finance])",level,vice president global,,finance,"(financial systems, 58, common)",58.0,financial systems,common
129,"vp, enterprise information managemnet",1,vice president enterprise information managemnet,"(enterprise information managemnet, [level], [enterprise information managemnet])",common,vice president,enterprise information management,,,97.0,enterprise information management,common
130,"vp, enterprise data management and governance",1,vice president enterprise data management and governance,"(enterprise data management governance, [level], [enterprise data management governance])",level,vice president,,enterprise data management governance,"(enterprise information management, 74, common)",74.0,enterprise information management,common
131,"vp, dg manager",1,vice president data governance manager,"(master data governance, [great], [None])",great,vice president manager,master data governance,,,,,
132,"vp, data strategy wealth management",1,vice president data strategy wealth management,"(data strategy wealth management, [level], [data strategy wealth management])",level,vice president,,data strategy wealth management,"(market data vendor management, 67, great)",67.0,market data vendor management,great
133,"vp, data strategy investment management",1,vice president data strategy investment management,"(data strategy investment management, [level], [data strategy investment management])",level,vice president,,data strategy investment management,"(data management, 60, great)",60.0,data management,great
134,"vp, data management",1,vice president data management,"(market data vendor management, [great], [None])",great,vice president,market data vendor management,,,,,
135,"vp, data integrity",1,vice president data integrity,"(data integrity, [level], [data integrity])",level,vice president,,data integrity,"(data scientist, 71, great)",71.0,data scientist,great
136,"vp, cio",1,vice president chief information officer,"(chief information officer, [great], [None])",great,vice president,chief information officer,,,,,
137,"vp, cfo",1,vice president chief financial officer,"(chief financial officer, [great], [None])",great,vice president,chief financial officer,,,,,
138,"vp, business intelligence & data",1,vice president business intelligence data,"(business intelligence data, [level], [business intelligence data])",level,vice president,,business intelligence data,"(business intelligence, 89, great)",89.0,business intelligence,great
139,"vp, architecture",1,vice president architecture,"(data architecture, [great], [None])",great,vice president,data architecture,,,,,
140,vp treasury,1,vice president treasury,"(treasury, [level], [treasury])",level,vice president,,treasury,"(controller, 44, great)",44.0,controller,great
141,vp technology,1,vice president technology,"(technology, [level], [technology])",level,vice president,,technology,"(information technology, 63, common)",63.0,information technology,common
142,vp systems architecture,1,vice president systems architecture,"(systems architecture, [level], [systems architecture])",level,vice president,,systems architecture,"(data architecture, 76, great)",76.0,data architecture,great
143,vp strategy and change mgmt,1,vice president strategy and change management,"(strategy change management, [level], [strategy change management])",level,vice president,,strategy change management,"(risk change management, 79, great)",79.0,risk change management,great
144,vp predictive analytics,1,vice president predictive analytics,"(predictive analytics, [level], [predictive analytics])",level,vice president,,predictive analytics,"(analytics, 62, great)",62.0,analytics,great
145,vp of risk,1,vice president of risk,"(risk, [level], [risk])",level,vice president of,,risk,"(risk reporting, 44, great)",44.0,risk reporting,great
146,vp of it sourcing / procurement,1,vice president of it sourcing procurement,"(it sourcing procurement, [level], [it sourcing procurement])",level,vice president of,,it sourcing procurement,"(quality improvement, 57, great)",57.0,quality improvement,great
147,vp of it,1,vice president of it,"(it, [level], [it])",level,vice president of,,it,"(big data, 40, great)",40.0,big data,great
148,vp of finance,1,vice president of finance,"(finance, [level], [finance])",level,vice president of,,finance,"(financial systems, 58, common)",58.0,financial systems,common
149,vp of data management,1,vice president of data management,"(market data vendor management, [great], [None])",great,vice president of,market data vendor management,,,,,
150,vp of data governance and bi,1,vice president of data governance and business intelligence,"(data governance business intelligence, [level], [data governance business intelligence])",level,vice president of,,data governance business intelligence,"(business intelligence competency center, 74, great)",74.0,business intelligence competency center,great
151,vp of data governance,1,vice president of data governance,"(master data governance, [great], [None])",great,vice president of,master data governance,,,,,
152,vp of bi - business information management,1,vice president of business intelligence business information management,"(business intelligence business information management, [level], [business intelligence business information management])",level,vice president of,,business intelligence business information management,"(business intelligence competency center, 63, great)",63.0,business intelligence competency center,great
153,vp of applications @ amerihealth caritas,1,vice president of applications amerihealth caritas,"(applications amerihealth caritas, [level], [applications amerihealth caritas])",level,vice president of,,applications amerihealth caritas,"(clinical applications, 60, great)",60.0,clinical applications,great
154,"vp major programs, coo",1,vice president major programs chief operating officer,"(major programs chief operating officer, [level], [major programs chief operating officer])",level,vice president,,major programs chief operating officer,"(chief operating officer, 75, common)",75.0,chief operating officer,common
155,vp life and annuity finance,1,vice president life and annuity finance,"(life annuity finance, [level], [life annuity finance])",level,vice president,,life annuity finance,"(finance change management, 53, great)",53.0,finance change management,great
156,vp information and data services,1,vice president information and data services,"(information data services, [level], [information data services])",level,vice president,,information data services,"(data services, 68, great)",68.0,data services,great
157,vp holland professional services,1,vice president holland professional services,"(holland professional services, [level], [holland professional services])",level,vice president,,holland professional services,"(data services, 52, great)",52.0,data services,great
158,"vp finance technology, global business operations & legal",1,vice president finance technology global business operations legal,"(finance technology business operations legal, [level], [finance technology business operations legal])",level,vice president global,,finance technology business operations legal,"(information technology, 64, common)",64.0,information technology,common
159,vp enterprise services strategy,1,vice president enterprise services strategy,"(enterprise services strategy, [level], [enterprise services strategy])",level,vice president,,enterprise services strategy,"(enterprise solutions, 58, common)",58.0,enterprise solutions,common
160,vp enterprise risk management & compliance,1,vice president enterprise risk management compliance,"(enterprise risk management compliance, [level], [enterprise risk management compliance])",level,vice president,,enterprise risk management compliance,"(risk change management, 68, great)",68.0,risk change management,great
161,vp enterprise data governance,1,vice president enterprise data governance,"(enterprise data governance, [level], [enterprise data governance])",level,vice president,,enterprise data governance,"(data governance, 73, great)",73.0,data governance,great
162,vp data strategy,1,vice president data strategy,"(data strategy, [level], [data strategy])",level,vice president,,data strategy,"(sales data, 70, great)",70.0,sales data,great
163,"vp data governance data architect,us fbo regulation project team",1,vice president data governance data architect us fbo regulation project team,"(data governance data architect us fbo regulation team, [level], [data governance data architect us fbo regulation team])",level,vice president project,,data governance data architect us fbo regulation team,"(master data governance, 51, great)",51.0,master data governance,great
