,title,title_count,title_split,new_title,type,match_score,title_level,leftover,temp,score,temp_2
0,data architect,14.0,data architect,data architect,great,100.0,,,,,
1,managing director,11.0,managing director,,,,managing director,,,,
2,chief data officer,11.0,chief data officer,chief data officer,great,100.0,,,,,
3,senior manager,9.0,senior manager,,,,senior manager,,,,
4,executive director,9.0,executive director,,,,executive director,,,,
5,,,,,,,,,,,
6,enterprise architect,8.0,enterprise architect,enterprise architect,great,100.0,,,,,
7,cio,7.0,chief information officer,chief information officer,great,100.0,,,,,
8,cdo,7.0,chief data officer,chief data officer,great,100.0,,,,,
9,director,6.0,director,,,,director,,,,
10,data governance lead,6.0,data governance lead,data governance,great,100.0,lead,,,100.0,"(data governance, 33, great)"
11,senior director data standards,5.0,senior director data standards,data standards,great,100.0,senior director,,,100.0,"(data governance, 33, great)"
12,project manager,5.0,project manager,,,,project manager,,,,
13,program manager,5.0,program manager,solvency ii program manager,great,90.0,manager,,,90.0,"(data governance, 33, great)"
14,information architect,5.0,information architect,information architect,great,100.0,,,,,
15,former division manager,5.0,former division manager,,,,manager,former division,"(descision support, 53, great)",53.0,"(descision support, 56, great)"
16,,,,,,,,,,,
17,data governance manager,5.0,data governance manager,data governance,great,100.0,manager,,,100.0,"(data governance, 33, great)"
18,consultant,5.0,consultant,,,,consultant,,,,
19,chief data governance officer,5.0,chief data governance officer,data governance,great,95.0,officer,,,95.0,"(data governance, 33, great)"
20,"senior manager of data quality and data governance, enterprise data management",4.0,senior manager of data quality and data governance enterprise data management,data governance,great,90.0,senior manager of,,,90.0,"(data governance, 33, great)"
21,senior consultant,4.0,senior consultant,,,,senior consultant,,,,
22,"program manager, enterprise data governance",4.0,program manager enterprise data governance,data governance,great,90.0,manager,,,90.0,"(data governance, 33, great)"
24,manager,4.0,manager,,,,manager,,,,
25,enterprise data governance consultant,4.0,enterprise data governance consultant,data governance,great,90.0,consultant,,,90.0,"(data governance, 33, great)"
26,data analyst,4.0,data analyst,data analyst,great,100.0,,,,,
27,cto,4.0,chief technology officer,chief technology officer,common,100.0,,,,,
28,business analyst,4.0,business analyst,business analyst,common,100.0,,,,,
29,architect,4.0,architect,architect,great,100.0,,,,,
30,vp procurement management,3.0,vice president procurement management,,,,vice president,procurement management,"(data management, 76, great)",76.0,"(data management, 80, great)"
31,,,,,,,,,,,
32,,,,,,,,,,,
33,senior it officer,3.0,senior it officer,data architect,great,90.0,senior officer,,,90.0,"(data governance, 33, great)"
34,project director,3.0,project director,,,,project director,,,,
35,,,,,,,,,,,
36,principal data analyst,3.0,principal data analyst,data analyst,great,100.0,principal,,,100.0,"(data governance, 33, great)"
