,title,title_count,title_split,new_title,type,match_score,title_level,leftover,token_set,token_set_score,type_1,token_set_title,token_sort,token_sort_score,type_2,token_sort_title,extractOne,extractOne_score,type_3,extractOne_title
0,data architect,14,data architect,data architect,great,100.0,,,,,,,,,,,,,,
1,managing director,11,managing director,,,,managing director,,,,,,,,,,,,,
2,chief data officer,11,chief data officer,chief data officer,great,100.0,,,,,,,,,,,,,,
3,senior manager,9,senior manager,,,,senior manager,,,,,,,,,,,,,
4,executive director,9,executive director,,,,executive director,,,,,,,,,,,,,
5,enterprise data architect,9,enterprise data architect,,,,,,,,,,,,,,,,,
6,enterprise architect,8,enterprise architect,,,,,,,,,,,,,,,,,
7,cio,7,chief information officer,chief information officer,common,100.0,,,,,,,,,,,,,,
8,cdo,7,chief data officer,chief data officer,great,100.0,,,,,,,,,,,,,,
9,director,6,director,,,,director,,,,,,,,,,,,,
10,data governance lead,6,data governance lead,data governance,,,lead,,,,,,,,,,,,,
11,senior director data standards,5,senior director data standards,data standards,,,senior director,,,,,,,,,,,,,
12,project manager,5,project manager,,,,project manager,,,,,,,,,,,,,
13,program manager,5,program manager,,,,program manager,,,,,,,,,,,,,
14,information architect,5,information architect,information architect,great,100.0,,,,,,,,,,,,,,
15,former division manager,5,former division manager,,,,manager,former division,"(chief information officer, 45, common)",45.0,,,"(chief information officer, 45, common)",45.0,,,"(information architect, 39, great)",39.0,,
16,enterprise data governance,5,enterprise data governance,enterprise data governance,common,100.0,,,,,,,,,,,,,,
17,data governance manager,5,data governance manager,data governance,,,manager,,,,,,,,,,,,,
18,consultant,5,consultant,,,,consultant,,,,,,,,,,,,,
19,chief data governance officer,5,chief data governance officer,,,,,,,,,,,,,,,,,
20,"senior manager of data quality and data governance, enterprise data management",4,senior manager of data quality and data governance enterprise data management,data management,,,senior manager,data quality data governance enterprise data management,"(data management, 100, great)",100.0,great,data management,"(enterprise data governance, 64, common)",64.0,,,"(data management, 90, great)",90.0,great,data management
21,senior consultant,4,senior consultant,,,,senior consultant,,,,,,,,,,,,,
22,"program manager, enterprise data governance",4,program manager enterprise data governance,enterprise data governance,,,program manager,,,,,,,,,,,,,
24,manager,4,manager,,,,manager,,,,,,,,,,,,,
25,enterprise data governance consultant,4,enterprise data governance consultant,enterprise data governance,,,consultant,,,,,,,,,,,,,
26,data analyst,4,data analyst,data analyst,common,100.0,,,,,,,,,,,,,,
27,cto,4,chief technology officer,chief technology officer,common,100.0,,,,,,,,,,,,,,
28,business analyst,4,business analyst,business analyst,great,100.0,,,,,,,,,,,,,,
29,architect,4,architect,architect,common,100.0,,,,,,,,,,,,,,
30,vp procurement management,3,vice president procurement management,,,,vice president,procurement management,"(data management, 80, great)",80.0,,,"(data management, 54, great)",54.0,,,"(data management, 76, great)",76.0,,
31,subject area owner,3,subject area owner,,,,,,,,,,,,,,,,,
32,strategic sourcing,3,strategic sourcing,,,,,,,,,,,,,,,,,
33,senior it officer,3,senior it officer,,,,senior,it officer,"(chief data officer, 82, great)",82.0,,,"(chief data officer, 71, great)",71.0,,,"(chief data officer, 86, great)",86.0,,
34,project director,3,project director,,,,project director,,,,,,,,,,,,,
35,program analyst,3,program analyst,ignore,,,program,analyst,"(business analyst, 100, great)",100.0,great,business analyst,"(analytics, 75, great)",75.0,,,"(business analyst, 90, great)",90.0,great,business analyst
36,principal data analyst,3,principal data analyst,data analyst,,,principal,,,,,,,,,,,,,
37,president,3,president,,,,president,,,,,,,,,,,,,
39,"managing director, bny mellon  data management and architecture   client technology solutions",3,managing director bny mellon data management and architecture client technology solutions,data management,,,managing director,bny mellon data management architecture client technology solutions,"(data management, 100, great)",100.0,great,data management,"(solutions architect, 44, common)",44.0,,,"(data management, 90, great)",90.0,great,data management
40,it manager,3,it manager,ignore,,,manager,it,"(architect, 36, common)",36.0,,,"(architect, 36, common)",36.0,,,"(data architect, 90, great)",90.0,great,data architect
41,"executive director, lead architect",3,executive director lead architect,architect,,,executive director lead,,,,,,,,,,,,,
42,director technical architecture,3,director technical architecture,,,,director,technical architecture,"(data architecture, 83, great)",83.0,,,"(data architecture, 77, great)",77.0,,,"(data architecture, 79, great)",79.0,,
43,data governance,3,data governance,data governance,great,100.0,,,,,,,,,,,,,,
44,"chief information officer, ifc",3,chief information officer ifc,,,,,,,,,,,,,,,,,
45,chief data architect,3,chief data architect,,,,,,,,,,,,,,,,,
46,associate general counsel,3,associate general counsel,,,,associate,general counsel,"(business intelligence, 50, great)",50.0,,,"(business intelligence, 50, great)",50.0,,,"(business intelligence, 48, great)",48.0,,
47,"vp, enterprise data management",2,vice president enterprise data management,data management,,,vice president,enterprise data management,"(data management, 100, great)",100.0,great,data management,"(data management, 73, great)",73.0,,,"(data management, 90, great)",90.0,great,data management
48,vp global finance technology,2,vice president global finance technology,,,,vice president global,finance technology,"(information technology, 75, common)",75.0,,,"(information technology, 75, common)",75.0,,,"(information architect, 41, great)",41.0,,
49,vp data architecture,2,vice president data architecture,data architecture,,,vice president,,,,,,,,,,,,,
50,vp data,2,vice president data,ignore,,,vice president,data,"(master data governance, 100, great)",100.0,great,master data governance,"(master data, 53, great)",53.0,,,"(master data governance, 90, great)",90.0,great,master data governance
51,"vice president, wealth management",2,vice president wealth management,,,,vice president,wealth management,"(data management, 81, great)",81.0,,,"(assessor quality management, 64, common)",64.0,,,"(data management, 81, great)",81.0,,
52,vice president - architecture,2,vice president architecture,ignore,,,vice president,architecture,"(data architecture, 100, great)",100.0,great,data architecture,"(architect, 86, common)",86.0,,,"(data architecture, 95, great)",95.0,great,data architecture
53,vice president,2,vice president,,,,vice president,,,,,,,,,,,,,
54,technical data steward,2,technical data steward,,,,,,,,,,,,,,,,,
55,system analyst,2,system analyst,,,,,,,,,,,,,,,,,
56,"svp, enterprise data executive & chief model risk officer",2,senior vice president enterprise data executive chief model risk officer,,,,senior vice president executive,enterprise data chief model risk officer,"(chief data officer, 100, great)",100.0,great,chief data officer,"(chief data officer, 62, great)",62.0,,,"(master data governance, 86, great)",86.0,,
57,svp data governance,2,senior vice president data governance,data governance,,,senior vice president,,,,,,,,,,,,,
58,sr. project manager,2,senior project manager,,,,senior project manager,,,,,,,,,,,,,
59,sr. operations officer,2,senior operations officer,,,,senior,operations officer,"(chief operating officer, 78, great)",78.0,,,"(chief operating officer, 78, great)",78.0,,,"(chief operating officer, 78, great)",78.0,,
60,sr data architect,2,senior data architect,data architect,,,senior,,,,,,,,,,,,,
61,solution architect,2,solution architect,,,,,,,,,,,,,,,,,
62,soa architect,2,soa architect,soa architect,common,100.0,,,,,,,,,,,,,,
63,senior researcher,2,senior researcher,ignore,,,senior,researcher,"(architect, 53, common)",53.0,,,"(architect, 53, common)",53.0,,,"(information architect, 45, great)",45.0,,
64,senior project lead - data governance workstreams,2,senior project lead data governance workstreams,data governance,,,senior project lead,data governance workstreams,"(data governance, 100, great)",100.0,great,data governance,"(master data governance, 78, great)",78.0,,,"(data governance, 90, great)",90.0,great,data governance
65,"senior manager, business intelligence and analytic",2,senior manager business intelligence and analytic,business intelligence,great,95.0,senior manager,,"(business intelligence, 100, great)",100.0,great,business intelligence,"(business intelligence, 82, great)",82.0,,,"(business intelligence, 95, great)",95.0,great,business intelligence
66,"senior director, enterprise architecture & innovation",2,senior director enterprise architecture innovation,,,,senior director,enterprise architecture innovation,"(data architecture, 83, great)",83.0,,,"(information architect, 65, great)",65.0,,,"(data architecture, 86, great)",86.0,,
67,senior data analyst,2,senior data analyst,data analyst,,,senior,,,,,,,,,,,,,
68,risk manager,2,risk manager,ignore,,,manager,risk,"(chief risk officer, 100, common)",100.0,common,chief risk officer,"(chief risk officer, 36, common)",36.0,,,"(chief operating officer, 45, great)",45.0,,
69,purchasing manager,2,purchasing manager,ignore,,,manager,purchasing,"(architect, 42, common)",42.0,,,"(architect, 42, common)",42.0,,,"(chief operating officer, 54, great)",54.0,,
70,purchasing,2,purchasing,,,,,,,,,,,,,,,,,
71,project manager - special projects,2,project manager special project,ignore,,,project manager project,special,"(financial systems, 33, common)",33.0,,,"(financial systems, 33, common)",33.0,,,"(master data governance, 39, great)",39.0,,
72,project leader,2,project leader,,,,project leader,,,,,,,,,,,,,
73,proj manager (consultant â€“ systems evolution),2,proj manager consultant systems evolution,,,,manager consultant,proj systems evolution,"(systems analyst, 64, common)",64.0,,,"(systems engineer, 63, common)",63.0,,,"(business intelligence, 37, great)",37.0,,
74,program manager integration & data services,2,program manager integration data services,data services,,,program manager,integration data services,"(data services, 100, great)",100.0,great,data services,"(data services, 68, great)",68.0,,,"(data services, 90, great)",90.0,great,data services
75,product manager derivserv,2,product manager derivserv,,,,manager,product derivserv,"(enterprise solutions, 49, common)",49.0,,,"(enterprise solutions, 49, common)",49.0,,,"(data services, 47, great)",47.0,,
76,process improvement senior manager,2,process improvement senior manager,,,,senior manager,process improvement,"(chief investment officer, 51, common)",51.0,,,"(chief investment officer, 51, common)",51.0,,,"(information management, 44, great)",44.0,,
77,principal information manager,2,principal information manager,ignore,,,principal manager,information,"(information management, 100, great)",100.0,great,information management,"(information architect, 69, great)",69.0,,,"(information management, 90, great)",90.0,great,information management
80,md governance manager,2,md governance manager,,,,manager,md governance,"(master data governance, 87, great)",87.0,,,"(data governance, 71, great)",71.0,,,"(master data governance, 86, great)",86.0,,
81,managing partner,2,managing partner,ignore,,,managing,partner,"(data manager, 53, great)",53.0,,,"(data manager, 53, great)",53.0,,,"(data manager, 53, great)",53.0,,
82,"manager, data architecture",2,manager data architecture,data architecture,,,manager,,,,,,,,,,,,,
83,manager finance it architecture & strategy,2,manager finance it architecture strategy,,,,manager,finance it architecture strategy,"(data architecture, 83, great)",83.0,,,"(data architecture, 65, great)",65.0,,,"(data architecture, 86, great)",86.0,,
84,lead architect,2,lead architect,architect,,,lead,,,,,,,,,,,,,
85,it specialist,2,it specialist,ignore,,,specialist,it,"(architect, 36, common)",36.0,,,"(architect, 36, common)",36.0,,,"(data architect, 90, great)",90.0,great,data architect
86,it business systems analyst,2,it business systems analyst,,,,,,,,,,,,,,,,,
87,head of data governance - operations,2,head of data governance operations,data governance,,,head,data governance operations,"(data governance, 100, great)",100.0,great,data governance,"(master data governance, 75, great)",75.0,,,"(data governance, 90, great)",90.0,great,data governance
88,head of data governance,2,head of data governance,data governance,,,head,,,,,,,,,,,,,
89,head of data architecture,2,head of data architecture,data architecture,,,head,,,,,,,,,,,,,
