,title,title_split,temp,temp_level,temp_title,temp_score
0,"chief analytics officer, mobacar",chief analytics officer mobacar,"(c-level, analytics, 90)",c-level,analytics,90
1,"chief analytics officer, close brothers retail finance",chief analytics officer close brothers retail finance,"(c-level, analytics, 90)",c-level,analytics,90
2,"chief analytics officer, mosaicoon",chief analytics officer mosaicoon,"(c-level, analytics, 90)",c-level,analytics,90
3,"chief analytics officer, img_play",chief analytics officer img play,"(c-level, analytics, 90)",c-level,analytics,90
4,"chief analytics officer, entercard",chief analytics officer entercard,"(c-level, analytics, 90)",c-level,analytics,90
5,"chief product and analytics officer, jobrapido",chief product and analytics officer jobrapido,"(c-level, analytics, 90)",c-level,analytics,90
6,"chief analytics officer, uk",chief analytics officer uk,"(c-level, analytics, 90)",c-level,analytics,90
7,"chief analytics officer, avito",chief analytics officer avito,"(c-level, analytics, 90)",c-level,analytics,90
8,"vp of business intelligence & analytics, liberty global",vp of business intelligence analytics liberty global,"(vp, analytics, 90)",vp,analytics,90
9,"vp business and consumer analytics, barclays",vp business and consumer analytics barclays,"(vp, analytics, 90)",vp,analytics,90
10,"director of insight & analytics, aller media oy",director of insight analytics aller media oy,"(director, analytics, 85)",director,analytics,85
11,"director data analytics, schneider electric",director data analytics schneider electric,"(director, analytics, 85)",director,analytics,85
12,"director of marketing & performance analytics, vistaprint",director of marketing performance analytics vistaprint,"(director, analytics, 85)",director,analytics,85
13,"global data analytics lead & ifc itgc specialist, sabmiller",global data analytics lead ifc itgc specialist sabmiller,"(manager, analytics, 80)",manager,analytics,80
14,"director of eu analytics, ebay",director of eu analytics ebay,"(director, analytics, 85)",director,analytics,85
15,"head of strategic data science, lloyds banking group",head of strategic data science lloyds banking group,"(department head, data science, 80)",department head,data science,80
16,"director and data governance leader, ge capital",director and data governance leader ge capital,"(director, data governance, 95)",director,data governance,95
17,"leading data science & analytics enterprise strategy, usa",leading data science analytics enterprise strategy usa,"(manager, analytics, 80)",manager,analytics,80
18,"director of people performance and analytics, getinge",director of people performance and analytics getinge,"(director, analytics, 85)",director,analytics,85
19,"head of marketing science, smart data & analytics, volkswagen",head of marketing science smart data analytics volkswagen,"(department head, analytics, 90)",department head,analytics,90
20,"head of advanced analytics, first national bank",head of advanced analytics first national bank,"(department head, analytics, 90)",department head,analytics,90
21,"group head of customer insight & analytics, thomas cook",group head of customer insight analytics thomas cook,"(department head, analytics, 90)",department head,analytics,90
22,"global head of customer analytics, funding circle uk",global head of customer analytics funding circle uk,"(department head, analytics, 90)",department head,analytics,90
23,"bi, analytics & insights global group manager, p&g",business intelligence analytics insights global group manager,"(manager, analytics, 80)",manager,analytics,80
24,"chief digital officer, digiconsult",chief digital officer digiconsult,"(c-level, nan, 65)",c-level,,65
25,"head of data insight, bloom agency",head of data insight bloom agency,"(department head, data, 66)",department head,data,66
26,"head of market & business intelligence for europe and cis, knauf insulation",head of market business intelligence for europe and cis knauf insulation,"(department head, business intelligence, 85)",department head,business intelligence,85
27,"program manager data science and analytics, tesla motors",program manager data science and analytics tesla motors,"(manager, analytics, 80)",manager,analytics,80
28,"director, stirling global ltd.",director stirling global ltd,"(director, nan, 60)",director,,60
29,director - tcida (tungsten centre for intelligent data analytics),director tcida tungsten centre for intelligent data analytics,"(director, analytics, 85)",director,analytics,85
30,"head of data science and analytics, pirelli",head of data science and analytics pirelli,"(department head, analytics, 90)",department head,analytics,90
31,"director of bi, otsuka pharmaceutical",director of business intelligence otsuka pharmaceutical,"(director, business intelligence, 85)",director,business intelligence,85
32,"chief analytics officer and founder,â ",chief analytics officer and founder,"(c-level, analytics, 90)",c-level,analytics,90
33,data scientist,data scientist,"(individual contributer, data scientist, 65)",individual contributer,data scientist,65
34,chief data officer & technical business manager,chief data officer technical business manager,"(c-level, chief data officer, 100)",c-level,chief data officer,100
35,programme manager,programme manager,"(manager, nan, 58)",manager,,58
36,crm database manager,crm database manager,"(manager, database, 38)",manager,database,38
37,vice president of data,vice president of data,"(vp, data, 68)",vp,data,68
38,enterprise data architect ,enterprise data architect,"(individual contributer, data architect, 65)",individual contributer,data architect,65
